split_type,split_id,window_s,feature_group,analysis_scope,mechanism,target_coverage,validation_threshold,validation_coverage,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20265966,120,A_strict_38,main,probability,0.5,0.9233987160550091,0.504950495049505,101,50,51,0.49504950495049505,1.0,0.42857142857142855,1.0,0.0,0.504950495049505
random,seed_20265966,120,A_strict_38,main,probability,0.6,0.9145534963875072,0.6336633663366337,101,61,40,0.6039603960396039,1.0,0.5714285714285714,1.0,0.0,0.39603960396039606
random,seed_20265966,120,A_strict_38,main,probability,0.7,0.9036093609308644,0.8316831683168316,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20265966,120,A_strict_38,main,probability,0.8,0.9036093609308644,0.8316831683168316,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20265966,120,A_strict_38,main,probability,0.9,0.820511269666843,0.9108910891089109,101,84,17,0.8316831683168316,1.0,0.7142857142857143,1.0,0.0,0.16831683168316836
random,seed_20265966,120,A_strict_38,main,probability,1.0,0.5146029034902545,1.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0
random,seed_20265966,120,A_strict_38,main,margin,0.5,0.8952350362376612,0.504950495049505,101,49,52,0.48514851485148514,1.0,0.42857142857142855,1.0,0.0,0.5148514851485149
random,seed_20265966,120,A_strict_38,main,margin,0.6,0.8810728087230552,0.6336633663366337,101,61,40,0.6039603960396039,1.0,0.5714285714285714,1.0,0.0,0.39603960396039606
random,seed_20265966,120,A_strict_38,main,margin,0.7,0.8584395389207444,0.8316831683168316,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20265966,120,A_strict_38,main,margin,0.8,0.8584395389207444,0.8316831683168316,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20265966,120,A_strict_38,main,margin,0.9,0.7381033621527414,0.9108910891089109,101,88,13,0.8712871287128713,1.0,0.7142857142857143,1.0,0.0,0.12871287128712872
random,seed_20265966,120,A_strict_38,main,margin,1.0,0.17478112008296942,1.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0
random,seed_20265966,120,A_strict_38,main,distance,0.5,2.259036368837071,0.504950495049505,101,46,55,0.45544554455445546,1.0,0.5714285714285714,1.0,0.0,0.5445544554455446
random,seed_20265966,120,A_strict_38,main,distance,0.6,2.812348522553582,0.6039603960396039,101,58,43,0.5742574257425742,1.0,0.5714285714285714,1.0,0.0,0.4257425742574258
random,seed_20265966,120,A_strict_38,main,distance,0.7,4.1414939991070785,0.7029702970297029,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20265966,120,A_strict_38,main,distance,0.8,6.017103361454771,0.801980198019802,101,78,23,0.7722772277227723,1.0,0.8571428571428571,1.0,0.0,0.2277227722772277
random,seed_20265966,120,A_strict_38,main,distance,0.9,9.018881754922038,0.900990099009901,101,89,12,0.8811881188118812,1.0,0.8571428571428571,1.0,0.0,0.1188118811881188
random,seed_20265966,120,A_strict_38,main,distance,1.0,148.47184218801732,1.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0
random,seed_20266975,120,A_strict_38,main,probability,0.5,0.9010137380112818,0.5445544554455446,101,60,41,0.594059405940594,1.0,0.5714285714285714,1.0,0.0,0.40594059405940597
random,seed_20266975,120,A_strict_38,main,probability,0.6,0.89869962699634,0.7623762376237624,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20266975,120,A_strict_38,main,probability,0.7,0.89869962699634,0.7623762376237624,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20266975,120,A_strict_38,main,probability,0.8,0.8748858484769194,0.8415841584158416,101,83,18,0.8217821782178217,1.0,0.7142857142857143,1.0,0.0,0.17821782178217827
random,seed_20266975,120,A_strict_38,main,probability,0.9,0.8497854846416325,0.9108910891089109,101,92,9,0.9108910891089109,1.0,0.8571428571428571,1.0,0.0,0.08910891089108908
random,seed_20266975,120,A_strict_38,main,probability,1.0,0.49482002093841837,1.0,101,101,0,1.0,0.9900990099009901,0.8507936507936508,0.9907407407407408,0.00990099009900991,0.0
random,seed_20266975,120,A_strict_38,main,margin,0.5,0.8538014428928867,0.504950495049505,101,54,47,0.5346534653465347,1.0,0.42857142857142855,1.0,0.0,0.4653465346534653
random,seed_20266975,120,A_strict_38,main,margin,0.6,0.8491987763602797,0.7623762376237624,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20266975,120,A_strict_38,main,margin,0.7,0.8491987763602797,0.7623762376237624,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20266975,120,A_strict_38,main,margin,0.8,0.8092304355061042,0.8415841584158416,101,83,18,0.8217821782178217,1.0,0.7142857142857143,1.0,0.0,0.17821782178217827
random,seed_20266975,120,A_strict_38,main,margin,0.9,0.7824293554181597,0.9108910891089109,101,90,11,0.8910891089108911,1.0,0.8571428571428571,1.0,0.0,0.1089108910891089
random,seed_20266975,120,A_strict_38,main,margin,1.0,0.10191459878261783,1.0,101,101,0,1.0,0.9900990099009901,0.8507936507936508,0.9907407407407408,0.00990099009900991,0.0
