split_type,split_id,window_s,eval_split,model,calibration_folds,calibration_status,bin,bin_lower,bin_upper,count,mean_confidence,accuracy,ece,brier_score,log_loss
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,3,0.5954165247773546,1.0,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,1,0.6537542316290476,0.0,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,4,0.7535455596322754,1.0,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,31,0.8824955450676139,1.0,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20266975,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,62,0.9139892501469876,1.0,0.11711511893622396,0.03363852167642588,0.13617506453092046
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.08485987012397297,0.032294345385534114,0.1282538843768003
