split_type,split_id,window_s,feature,severity_dependency_max_abs_spearman,class_signal_max_between_share,class_signal_train_median,removed,screening_rule
random,seed_20261930,90,THA,0.5505583715543244,0.995480302145745,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,THB,0.5505583715543244,0.9954463675438209,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,TCA,0.5505583715543244,0.9982556653200867,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,TCB,0.5505583715543244,0.9982486664271997,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,WRCA,0.0,0.0,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,WRCB,0.0,0.0,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,PSGA,0.5505583715543244,0.99803744401119,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,PSGB,0.5505583715543244,0.9980379836171857,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,WFWA,0.5505583715543244,0.9999842745507223,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,WFWB,0.5505583715543244,0.9999845792322132,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,WSTA,0.5454265567097273,0.9999999998728195,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,WSTB,0.15046494079220382,0.9999999999419296,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,VOL,0.5454265567097273,0.769036267866454,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,LVPZ,0.5454265567097273,0.7692136434087518,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,QMWT,0.5505583715543244,0.9999997667734167,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,LSGA,0.37655233555015377,0.9999178387257549,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,LSGB,0.37655233555015377,0.9999180012209369,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,QMGA,0.5505583715543244,0.9999990930245578,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,QMGB,0.5505583715543244,0.999999043997554,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,NSGA,0.5505583715543244,0.9998563717464718,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,NSGB,0.5505583715543244,0.9998573350378029,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,TSAT,0.5454265567097273,0.9297671359293673,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,LVCR,0.0,0.0,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,RHBR,0.0,0.0,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,RHMT,0.5505583715543244,0.9920813474856006,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,RHFL,0.5505583715543244,0.9922994957945859,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,RH,0.37655233555015377,0.9999995193564449,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,PWNT,0.5505583715543244,0.9999838764442658,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,PWR,0.5505583715543244,0.9999822369240319,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,TFSB,0.5505583715543244,0.9999495349947366,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,TFPK,0.5505583715543244,0.9999487694632296,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,TF,0.5505583715543244,0.9999487694632296,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,PPM,0.0,0.0,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,RRCA,0.0,0.0,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
