split_type,split_id,window_s,input_group,true_class,predicted_class,count,support
severity_blocked,middle_block,120,B_relative_change,SGATR,LOCAC,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,LR,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,MD,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,RI,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,RW,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,SGATR,9,9
severity_blocked,middle_block,120,B_relative_change,SGATR,SGBTR,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,SLBIC,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,SLBOC,0,9
severity_blocked,middle_block,120,B_relative_change,SGBTR,FLB,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,LLB,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,LOCA,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,LOCAC,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,LR,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,MD,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,RI,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,RW,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,SGATR,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,SGBTR,11,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,SLBIC,0,11
severity_blocked,middle_block,120,B_relative_change,SGBTR,SLBOC,0,11
severity_blocked,middle_block,120,B_relative_change,SLBIC,FLB,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,LLB,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,LOCA,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,LOCAC,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,LR,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,MD,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,RI,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,RW,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,SGATR,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,SGBTR,0,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,SLBIC,18,18
severity_blocked,middle_block,120,B_relative_change,SLBIC,SLBOC,0,18
severity_blocked,middle_block,120,B_relative_change,SLBOC,FLB,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,LLB,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,LOCA,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,LOCAC,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,LR,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,MD,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,RI,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,RW,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,SGATR,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,SGBTR,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,SLBIC,0,0
severity_blocked,middle_block,120,B_relative_change,SLBOC,SLBOC,0,0
severity_blocked,middle_block,120,C_train_only_screened,FLB,FLB,20,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,LLB,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,LOCA,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,LOCAC,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,LR,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,MD,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,RI,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,RW,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,SGATR,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,SGBTR,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,SLBIC,0,20
severity_blocked,middle_block,120,C_train_only_screened,FLB,SLBOC,0,20
severity_blocked,middle_block,120,C_train_only_screened,LLB,FLB,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,LLB,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,LOCA,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,LOCAC,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,LR,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,MD,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,RI,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,RW,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,SGATR,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,SGBTR,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,SLBIC,0,0
severity_blocked,middle_block,120,C_train_only_screened,LLB,SLBOC,0,0
severity_blocked,middle_block,120,C_train_only_screened,LOCA,FLB,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,LLB,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,LOCA,16,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,LOCAC,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,LR,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,MD,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,RI,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,RW,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,SGATR,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,SGBTR,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,SLBIC,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCA,SLBOC,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,FLB,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,LLB,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,LOCA,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,LOCAC,16,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,LR,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,MD,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,RI,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,RW,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,SGATR,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,SGBTR,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,SLBIC,0,16
severity_blocked,middle_block,120,C_train_only_screened,LOCAC,SLBOC,0,16
severity_blocked,middle_block,120,C_train_only_screened,LR,FLB,0,6
