split_type,split_id,window_s,feature_group,analysis_scope,eval_split,alpha,calibration_n,probability_cutoff,empirical_set_coverage,average_prediction_set_size,single_label_rate,ambiguous_multi_label_rate,empty_unknown_rate,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate,selected_model,calibration_status
random,seed_20270002,60,A_strict_38,control,test,0.2,101,0.1819618853756193,0.9504950495049505,3.198019801980198,0.26732673267326734,0.7326732673267327,0.0,0.26732673267326734,1.0,0.42857142857142855,1.0,0.0,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20270002,90,A_strict_38,control,test,0.05,101,0.07683869521984754,1.0,4.465346534653466,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20270002,90,A_strict_38,control,test,0.1,101,0.1819618853756193,0.9504950495049505,3.198019801980198,0.26732673267326734,0.7326732673267327,0.0,0.26732673267326734,1.0,0.42857142857142855,1.0,0.0,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20270002,90,A_strict_38,control,test,0.2,101,0.1819618853756193,0.9504950495049505,3.198019801980198,0.26732673267326734,0.7326732673267327,0.0,0.26732673267326734,1.0,0.42857142857142855,1.0,0.0,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,120,A_strict_38,main,test,0.05,78,0.8679104534914256,0.6310679611650486,0.6310679611650486,0.6310679611650486,0.0,0.36893203883495146,0.6310679611650486,1.0,0.7142857142857143,1.0,0.0,0.3689320388349514,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,120,A_strict_38,main,test,0.1,78,0.8780371120123381,0.6213592233009708,0.6213592233009708,0.6213592233009708,0.0,0.3786407766990291,0.6213592233009708,1.0,0.7142857142857143,1.0,0.0,0.3786407766990292,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,120,A_strict_38,main,test,0.2,78,0.8877936024918941,0.6213592233009708,0.6213592233009708,0.6213592233009708,0.0,0.3786407766990291,0.6213592233009708,1.0,0.7142857142857143,1.0,0.0,0.3786407766990292,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,60,A_strict_38,control,test,0.05,78,0.07099305700588121,0.883495145631068,3.9805825242718447,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,60,A_strict_38,control,test,0.1,78,0.17662782502410723,0.8252427184466019,3.320388349514563,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,60,A_strict_38,control,test,0.2,78,0.17662782502410723,0.8252427184466019,3.320388349514563,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,90,A_strict_38,control,test,0.05,78,0.07099305700588121,0.883495145631068,3.9805825242718447,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,90,A_strict_38,control,test,0.1,78,0.17662782502410723,0.8252427184466019,3.320388349514563,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,low_block,90,A_strict_38,control,test,0.2,78,0.17662782502410723,0.8252427184466019,3.320388349514563,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
severity_blocked,middle_block,120,A_strict_38,main,test,0.05,77,0.321740599142077,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,hist_gradient_boosting,train_only_sigmoid_cv
