split_type,split_id,window_s,evaluation_scope,model,selected_for_test,accuracy,macro_f1,macro_f1_observed,balanced_accuracy,n_classes_eval,minimum_support,eligible_families
severity_blocked,middle_block,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,middle_block,60,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,middle_block,90,family_model,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,middle_block,90,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,
severity_blocked,middle_block,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,middle_block,90,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,middle_block,120,family_model,logistic_regression,True,1.0,0.8571428571428571,1.0,1.0,6,6,
severity_blocked,middle_block,120,fine_grained_12_class,random_forest,True,1.0,0.6666666666666666,1.0,1.0,8,6,
severity_blocked,middle_block,120,fine_predictions_mapped_to_family,random_forest,True,1.0,0.8571428571428571,1.0,1.0,6,6,
severity_blocked,middle_block,120,two_stage_end_to_end,family_then_subtype,True,1.0,0.6666666666666666,1.0,1.0,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,high_block,60,family_model,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,high_block,60,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,
severity_blocked,high_block,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,high_block,60,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,high_block,90,family_model,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,high_block,90,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,
severity_blocked,high_block,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,high_block,90,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,high_block,120,family_model,random_forest,True,0.8543689320388349,0.649069399069399,0.7572476322476321,0.7666666666666666,6,6,
severity_blocked,high_block,120,fine_grained_12_class,random_forest,True,0.9320388349514563,0.5604398865268431,0.8406598297902645,0.875,8,6,
severity_blocked,high_block,120,fine_predictions_mapped_to_family,random_forest,True,0.9320388349514563,0.6923538923538924,0.8077462077462078,0.8333333333333334,6,6,
severity_blocked,high_block,120,two_stage_end_to_end,family_then_subtype,True,0.8543689320388349,0.5080997146214538,0.7621495719321807,0.7840909090909091,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_extrapolation,low_train_to_high_test,60,family_model,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_extrapolation,low_train_to_high_test,60,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,
severity_extrapolation,low_train_to_high_test,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_extrapolation,low_train_to_high_test,60,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_extrapolation,low_train_to_high_test,90,family_model,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_extrapolation,low_train_to_high_test,90,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,
severity_extrapolation,low_train_to_high_test,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_extrapolation,low_train_to_high_test,90,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_extrapolation,low_train_to_high_test,120,family_model,random_forest,True,0.8543689320388349,0.649069399069399,0.7572476322476321,0.7666666666666666,6,6,
severity_extrapolation,low_train_to_high_test,120,fine_grained_12_class,random_forest,True,0.9320388349514563,0.5604398865268431,0.8406598297902645,0.875,8,6,
severity_extrapolation,low_train_to_high_test,120,fine_predictions_mapped_to_family,random_forest,True,0.9320388349514563,0.6923538923538924,0.8077462077462078,0.8333333333333334,6,6,
severity_extrapolation,low_train_to_high_test,120,two_stage_end_to_end,family_then_subtype,True,0.8543689320388349,0.5080997146214538,0.7621495719321807,0.7840909090909091,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_extrapolation,high_train_to_low_test,60,family_model,hist_gradient_boosting,True,0.4174757281553398,0.23709623709623706,0.27661227661227655,0.4166666666666667,6,6,
severity_extrapolation,high_train_to_low_test,60,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.16608391608391607,0.2491258741258741,0.375,8,6,
severity_extrapolation,high_train_to_low_test,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.23709623709623706,0.27661227661227655,0.4166666666666667,6,6,
severity_extrapolation,high_train_to_low_test,60,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.16608391608391607,0.2491258741258741,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_extrapolation,high_train_to_low_test,90,family_model,hist_gradient_boosting,True,0.4174757281553398,0.23709623709623706,0.27661227661227655,0.4166666666666667,6,6,
