split_type,split_id,window_s,feature_group,analysis_scope,mechanism,eval_split,target_coverage,threshold,secondary_threshold,validation_coverage,selected_model,calibration_status,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20265966,90,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.45544554455445546,0.3481232726083984,0.45101553166069297,0.5445544554455446,0.0
random,seed_20265966,90,A_strict_38,control,probability,test,0.7,0.2631011978008756,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.45544554455445546,0.3481232726083984,0.45101553166069297,0.5445544554455446,0.0
random,seed_20265966,90,A_strict_38,control,margin,test,0.7,0.004259243750724284,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.45544554455445546,0.3481232726083984,0.45101553166069297,0.5445544554455446,0.0
random,seed_20265966,90,A_strict_38,control,distance,test,0.7,0.999999999999994,,0.8316831683168316,hist_gradient_boosting,train_only_sigmoid_cv,101,82,19,0.8118811881188119,0.32926829268292684,0.20300751879699247,0.3333333333333333,0.6707317073170731,0.18811881188118806
random,seed_20265966,90,A_strict_38,control,combination,test,0.7,0.2631011978008756,0.999999999999994,0.8316831683168316,hist_gradient_boosting,train_only_sigmoid_cv,101,82,19,0.8118811881188119,0.32926829268292684,0.20300751879699247,0.3333333333333333,0.6707317073170731,0.18811881188118806
random,seed_20266975,120,A_strict_38,main,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.9900990099009901,0.8507936507936508,0.9907407407407408,0.00990099009900991,0.0
random,seed_20266975,120,A_strict_38,main,probability,test,0.7,0.89869962699634,,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20266975,120,A_strict_38,main,margin,test,0.7,0.8491987763602797,,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20266975,120,A_strict_38,main,distance,test,0.7,4.185300845857444,,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,69,32,0.6831683168316832,1.0,0.7142857142857143,1.0,0.0,0.3168316831683168
random,seed_20266975,120,A_strict_38,main,combination,test,0.7,0.49482002093841837,4.185300845857444,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,69,32,0.6831683168316832,1.0,0.7142857142857143,1.0,0.0,0.3168316831683168
random,seed_20266975,60,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20266975,60,A_strict_38,control,probability,test,0.7,0.26653671542107066,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
