mode,landmark_s,input_group,model,split,n_trajectories,feature_count,excluded_high_coupling_count,suspicious_train_feature_count,mae,rmse,r2
sensitivity,30,process_only,random_forest,validation,20,170,20,0,81.03453333333337,213.56395259026112,-0.021726212960955893
sensitivity,30,process_only,random_forest,test,20,170,20,0,130.58453333333335,421.8208704617238,-0.038720798161741676
sensitivity,30,process_only,gradient_boosting,train,60,170,20,0,43.75085682957785,111.72798493760868,-0.03521284984576334
sensitivity,30,process_only,gradient_boosting,validation,20,170,20,0,71.01314262218337,217.50418868478496,-0.05977552487295634
sensitivity,30,process_only,gradient_boosting,test,20,170,20,0,121.01314262218341,426.25701159760536,-0.06068340019384744
sensitivity,30,severity_plus_process,naive_mean,train,60,171,20,0,54.60666666666667,109.81132682924837,0.0
sensitivity,30,severity_plus_process,naive_mean,validation,20,171,20,0,81.09000000000002,213.5504916875632,-0.021597418531617008
sensitivity,30,severity_plus_process,naive_mean,test,20,171,20,0,130.64000000000001,421.8030316391763,-0.03863294492599878
sensitivity,30,severity_plus_process,ridge,train,60,171,20,0,48.484221605300455,93.67351932569585,0.27232174717339963
sensitivity,30,severity_plus_process,ridge,validation,20,171,20,0,73.7031731801205,193.54502270223878,0.16084410465905497
sensitivity,30,severity_plus_process,ridge,test,20,171,20,0,122.2693521128776,401.3164432100859,0.05980787451490244
sensitivity,30,severity_plus_process,random_forest,train,60,171,20,0,10.876543035513874,38.57403364880573,0.8766054916788807
sensitivity,30,severity_plus_process,random_forest,validation,20,171,20,0,33.87305642135643,127.77146329962989,0.6342819692661832
sensitivity,30,severity_plus_process,random_forest,test,20,171,20,0,87.65204950396824,338.78227642362435,0.3299857117972549
sensitivity,30,severity_plus_process,gradient_boosting,train,60,171,20,0,9.319315112360142,43.82567464674879,0.8407193781958304
sensitivity,30,severity_plus_process,gradient_boosting,validation,20,171,20,0,33.53631269046743,137.7220543925928,0.5751010867652075
sensitivity,30,severity_plus_process,gradient_boosting,test,20,171,20,0,86.03502401767435,348.4847179639786,0.2910588652775127
sensitivity,60,severity_only,naive_mean,train,59,1,20,0,54.7641482332663,109.68721951383769,0.0
sensitivity,60,severity_only,naive_mean,validation,20,1,20,0,82.48177966101694,213.2966554818194,-0.0186316538070197
sensitivity,60,severity_only,naive_mean,test,20,1,20,0,131.95677966101692,421.4252551224051,-0.036633297585000335
sensitivity,60,severity_only,ridge,train,59,1,20,0,47.960523287286094,92.8658087973068,0.28319729460264964
sensitivity,60,severity_only,ridge,validation,20,1,20,0,74.44891087895326,193.05329631482775,0.165543851241312
sensitivity,60,severity_only,ridge,test,20,1,20,0,123.09936970866829,400.6866465345597,0.06288308666865383
sensitivity,60,severity_only,random_forest,train,59,1,20,0,9.21739105237199,37.89672700309157,0.880631056176014
sensitivity,60,severity_only,random_forest,validation,20,1,20,0,32.38112106481482,127.61698982464272,0.6353585211619965
sensitivity,60,severity_only,random_forest,test,20,1,20,0,86.82564467592593,338.73522013129934,0.3302622978959968
sensitivity,60,severity_only,gradient_boosting,train,59,1,20,0,8.968891874111257,52.27571974734802,0.7728629469215056
sensitivity,60,severity_only,gradient_boosting,validation,20,1,20,0,36.2934854581092,151.34396277552224,0.48716308515805384
sensitivity,60,severity_only,gradient_boosting,test,20,1,20,0,85.9574834350288,361.157037521478,0.2386642879375016
sensitivity,60,process_only,naive_mean,train,59,170,20,0,54.7641482332663,109.68721951383769,0.0
sensitivity,60,process_only,naive_mean,validation,20,170,20,0,82.48177966101694,213.2966554818194,-0.0186316538070197
sensitivity,60,process_only,naive_mean,test,20,170,20,0,131.95677966101692,421.4252551224051,-0.036633297585000335
sensitivity,60,process_only,ridge,train,59,170,20,0,54.7641482332663,109.68721951383769,0.0
sensitivity,60,process_only,ridge,validation,20,170,20,0,82.48177966101694,213.2966554818194,-0.0186316538070197
sensitivity,60,process_only,ridge,test,20,170,20,0,131.95677966101692,421.4252551224051,-0.036633297585000335
sensitivity,60,process_only,random_forest,train,59,170,20,0,54.581026046155344,109.68760819698952,-7.0871308837094915e-06
sensitivity,60,process_only,random_forest,validation,20,170,20,0,82.30657627118649,213.33634360038428,-0.01901076275215674
sensitivity,60,process_only,random_forest,test,20,170,20,0,131.78157627118648,421.48024566430684,-0.03690384969503113
sensitivity,60,process_only,gradient_boosting,train,59,170,20,0,43.44413984066547,111.68257117048991,-0.03671349629602383
sensitivity,60,process_only,gradient_boosting,validation,20,170,20,0,71.78942174955237,217.13987415581818,-0.05567014556294714
sensitivity,60,process_only,gradient_boosting,test,20,170,20,0,121.6144217495524,425.8766972026482,-0.058648514651605144
sensitivity,60,severity_plus_process,naive_mean,train,59,171,20,0,54.7641482332663,109.68721951383769,0.0
sensitivity,60,severity_plus_process,naive_mean,validation,20,171,20,0,82.48177966101694,213.2966554818194,-0.0186316538070197
sensitivity,60,severity_plus_process,naive_mean,test,20,171,20,0,131.95677966101692,421.4252551224051,-0.036633297585000335
sensitivity,60,severity_plus_process,ridge,train,59,171,20,0,47.96052328728611,92.8658087973068,0.28319729460264975
sensitivity,60,severity_plus_process,ridge,validation,20,171,20,0,74.44891087895326,193.05329631482775,0.165543851241312
sensitivity,60,severity_plus_process,ridge,test,20,171,20,0,123.09936970866832,400.6866465345597,0.06288308666865383
sensitivity,60,severity_plus_process,random_forest,train,59,171,20,0,9.217391052371994,37.89672700309157,0.880631056176014
sensitivity,60,severity_plus_process,random_forest,validation,20,171,20,0,32.38112106481482,127.61698982464272,0.6353585211619965
sensitivity,60,severity_plus_process,random_forest,test,20,171,20,0,86.82564467592593,338.73522013129934,0.3302622978959968
sensitivity,60,severity_plus_process,gradient_boosting,train,59,171,20,0,8.968891874111257,52.27571974734802,0.7728629469215056
sensitivity,60,severity_plus_process,gradient_boosting,validation,20,171,20,0,36.2934854581092,151.34396277552224,0.48716308515805384
sensitivity,60,severity_plus_process,gradient_boosting,test,20,171,20,0,85.9574834350288,361.157037521478,0.2386642879375016
sensitivity,120,severity_only,naive_mean,train,45,1,20,0,66.24000000000001,122.62705882290237,0.0
