scope,window_s,input_group,model,eval_split,true_class,predicted_class,count
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,LOCA,10
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCA,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,FLB,10
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LOCAC,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LR,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,MD,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,RW,7
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RI,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,RW,10
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,RW,SGBTR,0
